transaction_id,transaction_date,txn_year,txn_month,txn_month_name,txn_quarter,product_id,product_name,category,region,city,state,customer_id,customer_name,customer_segment,age_group,gender,loyalty_tier,tenure_band,quantity,unit_price,discount,discount_band,net_revenue,total_revenue,status,is_returned,is_active_customer,created_at
TXN0013,2024-03-14,2024,3,Mar,1,P006,Webcam,PERIPHERALS,WEST,Delhi,Delhi,CUST051,Customer_51 Lastname_51,Occasional,41-50,FEMALE,Silver,Loyal,4,3200.0,0.16,Medium (10-20%),10752.0,10752.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0014,2024-10-25,2024,10,Oct,4,P003,Keyboard,ACCESSORIES,WEST,Hyderabad,Telangana,CUST069,Customer_69 Lastname_69,Premium,51+,MALE,Bronze,Loyal,4,2500.0,0.19,Medium (10-20%),8100.0,8100.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0015,2024-02-16,2024,2,Feb,1,P006,Webcam,PERIPHERALS,WEST,Kolkata,West Bengal,CUST018,Customer_18 Lastname_18,Regular,31-40,MALE,Gold,Loyal,4,3200.0,0.25,High (20%+),9600.0,9600.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0016,2024-07-16,2024,7,Jul,3,P002,Mouse,ACCESSORIES,NORTH,Chennai,Tamil Nadu,CUST088,Customer_88 Lastname_88,Regular,51+,MALE,Gold,Loyal,3,850.0,0.16,Medium (10-20%),2142.0,2142.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0017,2024-12-15,2024,12,Dec,4,P008,SSD Drive,ELECTRONICS,NORTH,Pune,Maharashtra,CUST071,Customer_71 Lastname_71,Premium,31-40,MALE,Silver,Loyal,9,6500.0,0.06,Low (0-10%),54990.0,54990.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0018,2024-01-02,2024,1,Jan,1,P005,Headphones,ELECTRONICS,WEST,Bangalore,Karnataka,CUST056,Customer_56 Lastname_56,Regular,41-50,FEMALE,Silver,Loyal,6,4500.0,0.03,Low (0-10%),26190.0,26190.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0019,2024-03-19,2024,3,Mar,1,P003,Keyboard,ACCESSORIES,SOUTH,Mumbai,Maharashtra,CUST081,Customer_81 Lastname_81,Regular,51+,OTHER,Silver,Loyal,9,2500.0,0.23,High (20%+),17325.0,17325.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0020,2024-09-07,2024,9,Sep,3,P003,Keyboard,ELECTRONICS,EAST,Bangalore,Karnataka,CUST068,Customer_68 Lastname_68,Occasional,51+,FEMALE,Silver,Loyal,9,2500.0,0.0,No Discount,22500.0,17100.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0021,2024-05-03,2024,5,May,2,P002,Mouse,ELECTRONICS,NORTH,Hyderabad,Telangana,CUST040,Customer_40 Lastname_40,Premium,31-40,MALE,Silver,Loyal,6,850.0,0.22,High (20%+),3978.0,3978.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0022,2024-03-06,2024,3,Mar,1,P002,Mouse,PERIPHERALS,SOUTH,Bangalore,Karnataka,CUST009,Customer_9 Lastname_9,Premium,31-40,OTHER,Silver,Loyal,2,850.0,0.18,Medium (10-20%),1394.0,1394.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0023,2024-10-03,2024,10,Oct,4,P003,Keyboard,ACCESSORIES,SOUTH,Ahmedabad,Gujarat,CUST078,Customer_78 Lastname_78,Occasional,41-50,FEMALE,Bronze,Loyal,5,2500.0,0.13,Medium (10-20%),10875.0,10875.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0024,2024-09-21,2024,9,Sep,3,P005,Headphones,ACCESSORIES,WEST,Ahmedabad,Gujarat,CUST084,Customer_84 Lastname_84,Occasional,51+,OTHER,Silver,Loyal,7,4500.0,0.25,High (20%+),23625.0,23625.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0025,2024-10-28,2024,10,Oct,4,P002,Mouse,ELECTRONICS,SOUTH,Mumbai,Maharashtra,CUST044,Customer_44 Lastname_44,Occasional,31-40,FEMALE,Silver,Loyal,4,850.0,0.06,Low (0-10%),3196.0,3196.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0026,2024-01-17,2024,1,Jan,1,P001,Laptop,ELECTRONICS,NORTH,Pune,Maharashtra,CUST008,Customer_8 Lastname_8,Premium,22-30,FEMALE,Bronze,Loyal,2,75000.0,0.18,Medium (10-20%),123000.0,123000.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0027,2024-10-03,2024,10,Oct,4,P002,Mouse,ACCESSORIES,SOUTH,Bangalore,Karnataka,CUST086,Customer_86 Lastname_86,Regular,31-40,OTHER,Gold,Loyal,9,850.0,0.06,Low (0-10%),7191.0,7191.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0028,2024-02-19,2024,2,Feb,1,P008,SSD Drive,ELECTRONICS,NORTH,Kolkata,West Bengal,CUST053,Customer_53 Lastname_53,Occasional,22-30,OTHER,Silver,Loyal,4,6500.0,0.2,Medium (10-20%),20800.0,20800.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0029,2024-02-01,2024,2,Feb,1,P006,Webcam,ELECTRONICS,NORTH,Pune,Maharashtra,CUST094,Customer_94 Lastname_94,Occasional,22-30,MALE,Gold,Loyal,7,3200.0,0.1,Low (0-10%),20160.0,20160.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0030,2024-03-12,2024,3,Mar,1,P006,Webcam,PERIPHERALS,WEST,Bangalore,Karnataka,CUST025,Customer_25 Lastname_25,Premium,22-30,OTHER,Gold,Loyal,2,3200.0,0.06,Low (0-10%),6016.0,6016.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0031,2024-01-26,2024,1,Jan,1,P003,Keyboard,ACCESSORIES,NORTH,Chennai,Tamil Nadu,CUST010,Customer_10 Lastname_10,Premium,51+,FEMALE,Gold,Loyal,5,2500.0,0.12,Medium (10-20%),11000.0,11000.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0032,2024-09-05,2024,9,Sep,3,P001,Laptop,ELECTRONICS,WEST,Delhi,Delhi,CUST031,Customer_31 Lastname_31,Regular,31-40,MALE,Silver,Loyal,2,75000.0,0.23,High (20%+),115500.0,115500.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0033,2024-07-18,2024,7,Jul,3,P004,Monitor,ACCESSORIES,NORTH,Hyderabad,Telangana,CUST022,Customer_22 Lastname_22,Occasional,22-30,FEMALE,Silver,Loyal,7,18000.0,0.23,High (20%+),97020.0,97020.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0034,2024-03-20,2024,3,Mar,1,P008,SSD Drive,PERIPHERALS,WEST,Pune,Maharashtra,CUST094,Customer_94 Lastname_94,Occasional,22-30,MALE,Gold,Loyal,5,6500.0,0.11,Medium (10-20%),28925.0,28925.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0035,2024-06-09,2024,6,Jun,2,P005,Headphones,PERIPHERALS,NORTH,Hyderabad,Telangana,CUST075,Customer_75 Lastname_75,Occasional,41-50,OTHER,Silver,Loyal,4,4500.0,0.24,High (20%+),13680.0,13680.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0036,2024-09-17,2024,9,Sep,3,P001,Laptop,ELECTRONICS,NORTH,Bangalore,Karnataka,CUST068,Customer_68 Lastname_68,Occasional,51+,FEMALE,Silver,Loyal,10,75000.0,0.12,Medium (10-20%),660000.0,660000.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0037,2024-03-02,2024,3,Mar,1,P003,Keyboard,ELECTRONICS,WEST,Ahmedabad,Gujarat,CUST087,Customer_87 Lastname_87,Occasional,41-50,MALE,Gold,Loyal,2,2500.0,0.15,Medium (10-20%),4250.0,4250.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0038,2024-12-02,2024,12,Dec,4,P004,Monitor,ELECTRONICS,WEST,Mumbai,Maharashtra,CUST080,Customer_80 Lastname_80,Occasional,22-30,OTHER,Gold,Loyal,10,18000.0,0.15,Medium (10-20%),153000.0,153000.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0039,2024-05-15,2024,5,May,2,P006,Webcam,ACCESSORIES,SOUTH,Kolkata,West Bengal,CUST092,Customer_92 Lastname_92,Premium,51+,OTHER,Silver,Loyal,5,3200.0,0.05,Low (0-10%),15200.0,15200.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0040,2024-08-22,2024,8,Aug,3,P003,Keyboard,ELECTRONICS,NORTH,Delhi,Delhi,CUST097,Customer_97 Lastname_97,Regular,51+,FEMALE,Silver,Loyal,5,2500.0,0.11,Medium (10-20%),11125.0,11125.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0041,2024-06-27,2024,6,Jun,2,P002,Mouse,ACCESSORIES,SOUTH,Mumbai,Maharashtra,CUST065,Customer_65 Lastname_65,Premium,22-30,OTHER,Bronze,Loyal,2,850.0,0.13,Medium (10-20%),1479.0,1479.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0042,2024-11-09,2024,11,Nov,4,P004,Monitor,PERIPHERALS,EAST,Mumbai,Maharashtra,CUST057,Customer_57 Lastname_57,Premium,41-50,FEMALE,Silver,Loyal,6,18000.0,0.07,Low (0-10%),100440.0,100440.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0043,2024-05-15,2024,5,May,2,P001,Laptop,ELECTRONICS,SOUTH,Hyderabad,Telangana,CUST085,Customer_85 Lastname_85,Premium,51+,MALE,Silver,Loyal,9,75000.0,0.07,Low (0-10%),627750.0,627750.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0044,2024-06-24,2024,6,Jun,2,P002,Mouse,PERIPHERALS,SOUTH,Kolkata,West Bengal,CUST037,Customer_37 Lastname_37,Regular,51+,OTHER,Gold,Loyal,9,850.0,0.04,Low (0-10%),7344.0,7344.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0045,2024-05-21,2024,5,May,2,P005,Headphones,ELECTRONICS,WEST,Pune,Maharashtra,CUST007,Customer_7 Lastname_7,Occasional,51+,FEMALE,Gold,Loyal,9,4500.0,0.12,Medium (10-20%),35640.0,35640.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0046,2024-08-14,2024,8,Aug,3,P001,Laptop,ACCESSORIES,SOUTH,Pune,Maharashtra,CUST082,Customer_82 Lastname_82,Regular,31-40,MALE,Gold,Loyal,6,75000.0,0.19,Medium (10-20%),364500.0,364500.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0047,2024-10-06,2024,10,Oct,4,P007,USB Hub,PERIPHERALS,SOUTH,Chennai,Tamil Nadu,CUST010,Customer_10 Lastname_10,Premium,51+,FEMALE,Gold,Loyal,9,1200.0,0.0,No Discount,10800.0,10800.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0048,2024-06-06,2024,6,Jun,2,P006,Webcam,ELECTRONICS,NORTH,Bangalore,Karnataka,CUST056,Customer_56 Lastname_56,Regular,41-50,FEMALE,Silver,Loyal,10,3200.0,0.14,Medium (10-20%),27520.0,27520.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0049,2024-06-30,2024,6,Jun,2,P001,Laptop,PERIPHERALS,NORTH,Hyderabad,Telangana,CUST032,Customer_32 Lastname_32,Regular,22-30,MALE,Silver,Loyal,6,75000.0,0.05,Low (0-10%),427500.0,427500.0,PENDING,False,False,2026-03-29 12:21:00.285000+00:00
TXN0050,2024-07-30,2024,7,Jul,3,P007,USB Hub,ELECTRONICS,SOUTH,Delhi,Delhi,CUST031,Customer_31 Lastname_31,Regular,31-40,MALE,Silver,Loyal,10,1200.0,0.19,Medium (10-20%),9720.0,9720.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0051,2024-05-16,2024,5,May,2,P003,Keyboard,PERIPHERALS,SOUTH,Kolkata,West Bengal,CUST053,Customer_53 Lastname_53,Occasional,22-30,OTHER,Silver,Loyal,6,2500.0,0.2,Medium (10-20%),12000.0,12000.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0052,2024-08-23,2024,8,Aug,3,P002,Mouse,ELECTRONICS,SOUTH,Delhi,Delhi,CUST061,Customer_61 Lastname_61,Regular,31-40,OTHER,Bronze,Loyal,7,850.0,0.22,High (20%+),4641.0,4641.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0053,2024-06-17,2024,6,Jun,2,P005,Headphones,ELECTRONICS,WEST,Hyderabad,Telangana,CUST085,Customer_85 Lastname_85,Premium,51+,MALE,Silver,Loyal,4,4500.0,0.06,Low (0-10%),16920.0,16920.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0054,2024-01-15,2024,1,Jan,1,P002,Mouse,ACCESSORIES,EAST,Delhi,Delhi,CUST066,Customer_66 Lastname_66,Occasional,22-30,FEMALE,Silver,Loyal,5,850.0,0.09,Low (0-10%),3867.5,3867.5,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0055,2024-11-01,2024,11,Nov,4,P005,Headphones,ELECTRONICS,NORTH,Ahmedabad,Gujarat,CUST034,Customer_34 Lastname_34,Premium,22-30,FEMALE,Gold,Loyal,3,4500.0,0.15,Medium (10-20%),11475.0,11475.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0056,2024-10-22,2024,10,Oct,4,P006,Webcam,ELECTRONICS,WEST,Delhi,Delhi,CUST066,Customer_66 Lastname_66,Occasional,22-30,FEMALE,Silver,Loyal,6,3200.0,0.11,Medium (10-20%),17088.0,17088.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0057,2024-07-05,2024,7,Jul,3,P005,Headphones,PERIPHERALS,SOUTH,Hyderabad,Telangana,CUST001,Customer_1 Lastname_1,Regular,22-30,FEMALE,Silver,Loyal,1,4500.0,0.18,Medium (10-20%),3690.0,3690.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0058,2024-09-16,2024,9,Sep,3,P002,Mouse,ELECTRONICS,EAST,Hyderabad,Telangana,CUST085,Customer_85 Lastname_85,Premium,51+,MALE,Silver,Loyal,6,850.0,0.16,Medium (10-20%),4284.0,4284.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0059,2024-04-08,2024,4,Apr,2,P007,USB Hub,PERIPHERALS,SOUTH,Pune,Maharashtra,CUST038,Customer_38 Lastname_38,Regular,31-40,FEMALE,Silver,Loyal,6,1200.0,0.1,Low (0-10%),6480.0,6480.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0060,2024-06-04,2024,6,Jun,2,P007,USB Hub,ACCESSORIES,NORTH,Ahmedabad,Gujarat,CUST039,Customer_39 Lastname_39,Occasional,41-50,OTHER,Gold,Loyal,3,1200.0,0.15,Medium (10-20%),3060.0,3060.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0061,2024-08-26,2024,8,Aug,3,P004,Monitor,PERIPHERALS,EAST,Ahmedabad,Gujarat,CUST078,Customer_78 Lastname_78,Occasional,41-50,FEMALE,Bronze,Loyal,7,18000.0,0.2,Medium (10-20%),100800.0,100800.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0062,2024-05-25,2024,5,May,2,P008,SSD Drive,ELECTRONICS,NORTH,Kolkata,West Bengal,CUST095,Customer_95 Lastname_95,Premium,22-30,OTHER,Bronze,Loyal,4,6500.0,0.13,Medium (10-20%),22620.0,22620.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0063,2024-04-25,2024,4,Apr,2,P006,Webcam,ELECTRONICS,EAST,Delhi,Delhi,CUST097,Customer_97 Lastname_97,Regular,51+,FEMALE,Silver,Loyal,2,3200.0,0.2,Medium (10-20%),5120.0,5120.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0064,2024-08-21,2024,8,Aug,3,P003,Keyboard,PERIPHERALS,NORTH,Delhi,Delhi,CUST061,Customer_61 Lastname_61,Regular,31-40,OTHER,Bronze,Loyal,1,2500.0,0.01,Low (0-10%),2475.0,2475.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0065,2024-02-24,2024,2,Feb,1,P004,Monitor,ELECTRONICS,NORTH,Hyderabad,Telangana,CUST032,Customer_32 Lastname_32,Regular,22-30,MALE,Silver,Loyal,7,18000.0,0.12,Medium (10-20%),110880.0,110880.0,RETURNED,True,False,2026-03-29 12:21:00.285000+00:00
TXN0066,2024-01-26,2024,1,Jan,1,P004,Monitor,PERIPHERALS,WEST,Hyderabad,Telangana,CUST090,Customer_90 Lastname_90,Occasional,51+,MALE,Silver,Loyal,3,18000.0,0.2,Medium (10-20%),43200.0,43200.0,PENDING,False,False,2026-03-29 12:21:00.285000+00:00
TXN0067,2024-08-14,2024,8,Aug,3,P004,Monitor,PERIPHERALS,EAST,Hyderabad,Telangana,CUST060,Customer_60 Lastname_60,Occasional,22-30,MALE,Gold,Loyal,2,18000.0,0.11,Medium (10-20%),32040.0,32040.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0068,2024-08-18,2024,8,Aug,3,P007,USB Hub,PERIPHERALS,WEST,Hyderabad,Telangana,CUST021,Customer_21 Lastname_21,Occasional,51+,OTHER,Gold,Loyal,9,1200.0,0.11,Medium (10-20%),9612.0,9612.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0069,2024-05-20,2024,5,May,2,P004,Monitor,ACCESSORIES,SOUTH,Chennai,Tamil Nadu,CUST067,Customer_67 Lastname_67,Premium,41-50,OTHER,Gold,Loyal,5,18000.0,0.19,Medium (10-20%),72900.0,72900.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0070,2024-03-11,2024,3,Mar,1,P002,Mouse,ACCESSORIES,NORTH,Pune,Maharashtra,CUST043,Customer_43 Lastname_43,Regular,22-30,MALE,Silver,Loyal,5,850.0,0.06,Low (0-10%),3995.0,3995.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0071,2024-07-31,2024,7,Jul,3,P004,Monitor,ELECTRONICS,NORTH,Kolkata,West Bengal,CUST091,Customer_91 Lastname_91,Regular,51+,OTHER,Silver,Loyal,7,18000.0,0.17,Medium (10-20%),104580.0,104580.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0072,2024-07-18,2024,7,Jul,3,P006,Webcam,ELECTRONICS,WEST,Pune,Maharashtra,CUST008,Customer_8 Lastname_8,Premium,22-30,FEMALE,Bronze,Loyal,9,3200.0,0.12,Medium (10-20%),25344.0,25344.0,PENDING,False,False,2026-03-29 12:21:00.285000+00:00
TXN0073,2024-07-18,2024,7,Jul,3,P001,Laptop,ACCESSORIES,EAST,Hyderabad,Telangana,CUST001,Customer_1 Lastname_1,Regular,22-30,FEMALE,Silver,Loyal,10,75000.0,0.1,Low (0-10%),675000.0,675000.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0074,2024-07-18,2024,7,Jul,3,P004,Monitor,ACCESSORIES,NORTH,Bangalore,Karnataka,CUST056,Customer_56 Lastname_56,Regular,41-50,FEMALE,Silver,Loyal,8,18000.0,0.05,Low (0-10%),136800.0,136800.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0075,2024-07-20,2024,7,Jul,3,P007,USB Hub,PERIPHERALS,NORTH,Chennai,Tamil Nadu,CUST017,Customer_17 Lastname_17,Occasional,51+,FEMALE,Silver,Loyal,3,1200.0,0.21,High (20%+),2844.0,2844.0,PENDING,False,True,2026-03-29 12:21:00.285000+00:00
TXN0076,2024-01-26,2024,1,Jan,1,P001,Laptop,ACCESSORIES,SOUTH,Kolkata,West Bengal,CUST018,Customer_18 Lastname_18,Regular,31-40,MALE,Gold,Loyal,2,75000.0,0.16,Medium (10-20%),126000.0,126000.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0077,2024-05-22,2024,5,May,2,P007,USB Hub,ACCESSORIES,WEST,Hyderabad,Telangana,CUST042,Customer_42 Lastname_42,Occasional,51+,OTHER,Gold,Loyal,6,1200.0,0.05,Low (0-10%),6840.0,6840.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0078,2024-06-28,2024,6,Jun,2,P005,Headphones,PERIPHERALS,NORTH,Chennai,Tamil Nadu,CUST096,Customer_96 Lastname_96,Occasional,41-50,OTHER,Bronze,Loyal,2,4500.0,0.12,Medium (10-20%),7920.0,7920.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0079,2024-11-14,2024,11,Nov,4,P002,Mouse,ELECTRONICS,NORTH,Hyderabad,Telangana,CUST032,Customer_32 Lastname_32,Regular,22-30,MALE,Silver,Loyal,1,850.0,0.19,Medium (10-20%),688.5,688.5,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0080,2024-08-26,2024,8,Aug,3,P004,Monitor,PERIPHERALS,SOUTH,Mumbai,Maharashtra,CUST015,Customer_15 Lastname_15,Regular,31-40,FEMALE,Gold,Loyal,3,18000.0,0.12,Medium (10-20%),47520.0,47520.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0081,2024-03-24,2024,3,Mar,1,P006,Webcam,PERIPHERALS,NORTH,Chennai,Tamil Nadu,CUST096,Customer_96 Lastname_96,Occasional,41-50,OTHER,Bronze,Loyal,3,3200.0,0.15,Medium (10-20%),8160.0,8160.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0082,2024-07-22,2024,7,Jul,3,P002,Mouse,PERIPHERALS,WEST,Hyderabad,Telangana,CUST040,Customer_40 Lastname_40,Premium,31-40,MALE,Silver,Loyal,10,850.0,0.01,Low (0-10%),8415.0,8415.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0083,2024-12-22,2024,12,Dec,4,P002,Mouse,ELECTRONICS,NORTH,Mumbai,Maharashtra,CUST081,Customer_81 Lastname_81,Regular,51+,OTHER,Silver,Loyal,10,850.0,0.17,Medium (10-20%),7055.0,7055.0,COMPLETED,False,True,2026-03-29 12:21:00.285000+00:00
TXN0084,2024-12-04,2024,12,Dec,4,P002,Mouse,PERIPHERALS,WEST,Mumbai,Maharashtra,CUST045,Customer_45 Lastname_45,Premium,31-40,OTHER,Silver,Loyal,10,850.0,0.2,Medium (10-20%),6800.0,6800.0,COMPLETED,False,False,2026-03-29 12:21:00.285000+00:00
TXN0085,2024-02-24,2024,2,Feb,1,P002,Mouse,ACCESSORIES,WEST,Kolkata,West Bengal,CUST002,Customer_2 Lastname_2,Occasional,31-40,MALE,Silver,Loyal,9,850.0,0.16,Medium (10-20%),6426.0,6426.0,RETURNED,True,True,2026-03-29 12:21:00.285000+00:00
TXN0086,2024-11-11,2024,11,Nov,4,P006,Webcam,ELECTRONICS,EAST,Bangalore,Karnataka,CUST056,Customer_56 Lastname_56,Regular,41-50,FEMALE,Silver,Loyal,8,3200.0,0.18,Medium (10-20%),20992.0,20992.0,PENDING,False,False,2026-03-29 12:21:00.285000+00:00
